qid,sitelinks,familiarity
Q100,215,3
Q1000321,13,3
Q1000479,17,4
Q100144541,0,2
Q1001991,24,0
Q1002264,10,0
Q1002573,5,1
Q1002727,8,3
Q1002859,8,3
Q1002871,10,4
Q1002976,10,3
Q100314037,3,2
Q1003585,10,3
Q1005927,9,2
Q100621744,4,3
Q1006950,21,2
Q100804877,3,5
Q1008530,9,1
Q100901591,1,0
Q1009561,14,5
Q1009855,10,5
Q1010020,10,3
Q1010176,12,2
Q101095813,37,0
Q1013786,14,5
Q1014231,29,4
Q10152,59,0
Q101625,140,5
Q101730,89,0
Q1017927,18,4
Q1018540,35,5
Q1018775,20,3
Q1020125,9,5
Q1021545,38,1
Q1021592,24,3
Q1022336,5,1
Q1022897,11,4
Q1022918,40,1
Q1022965,25,2
Q102328053,1,3
Q1024037,19,4
Q1024362,19,1
Q1024624,27,4
Q1024903,12,3
Q1024926,30,5
Q1025051,14,4
Q1025113,20,1
Q1025949,24,0
Q1026044,12,2
Q1026229,21,2
Q1026427,12,4
Q1026664,16,0
Q1026670,15,1
Q1026676,16,4
Q1027127,31,4
Q1027210,20,3
Q1027238,10,3
Q10275720,10,4
Q1027626,12,4
Q1027700,22,5
Q10281190,7,3
Q1028418,8,0
Q1028633,16,3
Q1028696,20,5
Q10288,136,5
Q1028985,17,4
Q1029092,17,5
Q1029098,17,5
Q1029127,15,5
Q102920,68,0
Q1029453,17,1
Q10300252,8,3
Q1030045,19,1
Q1030463,83,4
Q103062,14,4
Q1031145,17,1
Q1031421,5,2
Q1031527,15,3
Q1031615,20,0
Q10319641,34,5
Q1032558,21,4
Q1033076,22,3
Q1033333,19,3
Q1033586,5,4
Q1033809,13,2
Q1034621,42,0
Q1035075,20,1
Q1035131,20,2
Q1036028,13,2
Q10363091,7,5
Q10367953,10,1
Q10368164,8,3
Q10376043,9,1
Q1039219,14,0
Q1040637,10,4
Q1040644,9,4
Q1040650,9,4
Q1040659,9,3
Q1040665,9,4
Q1040671,9,3
Q1040680,9,3
Q1040713,9,4
Q1041132,9,4
Q1041160,9,4
Q1041179,10,4
Q1041205,10,4
Q1041215,9,4
Q1041497,9,2
Q1041505,9,3
Q1041600,9,3
Q1041603,9,3
Q1041606,8,4
Q1041803,9,3
Q1041831,9,4
Q1041863,9,3
Q1042118,10,3
Q1042137,9,3
Q1042190,10,3
Q1042207,10,3
Q1042227,9,4
Q10422447,12,2
Q104231,83,1
Q1042366,12,3
Q1042388,9,2
Q1042732,23,3
Q1043326,37,5
Q1043381,14,3
Q1043431,31,0
Q1043966,24,2
Q1044020,16,3
Q1045096,33,4
Q1045119,8,5
Q104521668,2,1
Q1045310,8,5
Q104535027,9,5
Q1045990,5,3
Q104636940,13,0
Q1046405,20,2
Q1046414,26,2
Q1046446,21,4
Q1046524,21,5
Q1046677,29,1
Q1046736,29,5
Q1046742,28,2
Q1047097,11,4
Q1047226,14,3
Q104766202,4,3
Q104815467,4,4
Q104815468,4,5
Q104815469,4,4
Q104822366,2,2
Q1048345,10,5
Q104834576,4,3
Q104834578,3,3
Q104834581,4,4
Q104834582,3,5
Q104835547,4,4
Q104835696,4,4
Q104835848,4,5
Q1048582,25,4
Q1048634,11,2
Q1048642,12,1
Q1048705,16,3
Q1049238,20,0
Q1049376,14,2
Q1049440,7,4
Q1050032,30,5
Q1050048,36,5
Q1050074,27,3
Q105063687,3,3
Q105094187,26,1
Q1052475,30,4
Q105272079,4,3
Q105272218,4,5
Q105272353,4,4
Q105272370,4,5
Q1053309,7,4
Q1053320,15,2
Q1053349,8,2
Q1053483,11,5
Q1053684,28,0
Q1054039,11,3
Q1054277,13,4
Q1054410,14,1
Q1054785,22,2
Q1054923,43,0
Q1055296,14,3
Q1055897,14,5
Q1055993,13,5
Q1056064,15,2
Q1056123,21,4
Q1056152,37,5
Q1056422,9,1
Q10583424,51,4
Q105834613,7,3
Q1058395,19,1
Q1058594,29,0
Q1059013,11,3
Q105965891,3,2
Q1059947,11,5
Q10601978,16,1
Q1060854,11,4
Q106085404,12,0
Q106103956,19,3
Q1061104,43,4
Q1061488,29,0
Q1061504,29,2
Q1062480,20,4
Q1062689,24,2
Q1063195,20,4
Q1063602,22,5
Q1063819,34,3
Q1064206,24,0
Q1064758,13,4
Q1064892,13,2
Q1064983,14,1
Q1065206,27,5
Q1065414,37,4
Q1065669,17,2
Q10656756,6,3
Q1066662,22,2
Q1066676,31,5
Q1066692,6,3
Q1066903,25,3
Q1067140,27,4
Q1067220,8,5
Q106808173,1,0
Q106808179,1,3
Q1068701,23,1
Q1068874,12,4
Q106909425,2,2
Q1069129,36,5
Q1069131,22,1
Q1069141,27,3
Q1069457,27,4
Q1069687,27,4
Q106982007,2,3
Q1069942,8,5
Q1069950,14,4
Q1069962,9,4
Q1069994,23,3
Q1070093,11,1
Q1070546,12,2
Q107074885,57,0
Q1070787,13,2
Q1071084,15,5
Q1071500,19,5
Q1071570,25,4
Q107167254,3,2
Q1072510,26,5
Q1072717,22,5
Q1072875,13,2
Q1073001,12,3
Q1073008,13,3
Q1073207,11,3
Q1073232,10,2
Q1073644,22,5
Q1073674,19,3
Q107404516,11,0
Q1074095,8,5
Q10742833,1,1
Q10743079,1,0
Q10743116,1,4
Q10743146,1,1
Q10743280,1,3
Q10743287,13,4
Q10743288,3,3
Q10743330,7,3
Q10743507,1,0
Q10743634,3,0
Q1074565,12,3
Q10748428,2,3
Q10748429,3,2
Q10748486,1,2
Q10748531,1,2
Q10751146,4,2
Q10751152,2,4
Q10752053,4,4
Q10752058,6,4
Q10752345,1,0
Q10752360,2,3
Q10752363,2,4
Q10752403,8,5
Q10752621,3,0
Q10752772,2,3
Q1075342,8,4
Q1075469,24,2
Q10757695,3,1
Q10757696,3,1
Q1075966,14,4
Q1075988,38,5
Q10761388,2,1
Q10761721,1,1
Q10761913,5,0
Q10763516,2,3
Q107657308,2,2
Q1076729,33,3
Q107675717,4,0
Q10768928,2,1
Q10770729,1,3
Q10770742,1,5
Q10770773,1,4
Q10771568,2,1
Q10771739,1,1
Q10771877,3,3
Q10771885,6,1
Q10771887,2,1
Q10771890,1,1
Q10771893,3,2
Q10771894,1,1
Q10771903,2,1
