city,country,continent,lat,lon,sv_total,sv_perspective,L_district,ok_streetview,ok_scale,eligible
London,UK,EU,51.51,-0.13,3635,2966,0.51,True,True,True
Paris,FR,EU,48.86,2.34,1073,737,0.5,True,True,True
Rome,IT,EU,41.895,12.475,1251,1141,1.06,True,False,False
Barcelona,ES,EU,41.387,2.17,793,793,0.4,True,True,True
Amsterdam,NL,EU,52.37,4.895,3994,2971,0.38,True,True,True
Prague,CZ,EU,50.087,14.42,3389,2376,0.77,True,False,False
Vienna,AT,EU,48.208,16.373,5169,5137,0.41,True,True,True
Lisbon,PT,EU,38.71,-9.14,4268,4253,0.33,True,True,True
Berlin,DE,EU,52.517,13.39,2388,2254,0.5,True,True,True
Madrid,ES,EU,40.416,-3.704,751,695,0.58,True,True,True
Milan,IT,EU,45.465,9.19,4774,1838,0.46,True,True,True
Budapest,HU,EU,47.498,19.04,3039,2681,0.56,True,True,True
Copenhagen,DK,EU,55.68,12.58,4052,3948,0.6,True,True,True
Dublin,IE,EU,53.348,-6.26,2857,2827,0.72,True,False,False
Athens,GR,EU,37.976,23.735,3599,1799,0.52,True,True,True
Stockholm,SE,EU,59.33,18.07,3837,3466,0.57,True,True,True
Edinburgh,UK,EU,55.95,-3.19,2815,2648,0.39,True,True,True
Krakow,PL,EU,50.062,19.937,1582,1507,,True,False,False
Porto,PT,EU,41.147,-8.61,2487,2052,0.3,True,False,False
Seville,ES,EU,37.389,-5.993,746,746,0.32,True,False,False
Tokyo,JP,AS,35.68,139.76,4448,3988,0.33,True,False,False
Osaka,JP,AS,34.669,135.5,1668,1507,0.24,True,False,False
Kyoto,JP,AS,35.005,135.765,5357,5185,0.1,True,False,False
Seoul,KR,AS,37.57,126.98,200,200,0.25,True,False,False
Bangkok,TH,AS,13.75,100.5,967,472,0.23,True,False,False
Singapore,SG,AS,1.3,103.85,1742,1664,0.35,True,True,True
Hong Kong,HK,AS,22.28,114.17,658,658,0.41,True,True,True
Taipei,TW,AS,25.045,121.53,4443,4185,1.33,True,False,False
Kuala Lumpur,MY,AS,3.147,101.695,3541,3385,0.72,True,False,False
Istanbul,TR,AS,41.01,28.97,1775,1770,0.27,True,False,False
Tel Aviv,IL,AS,32.07,34.775,1030,685,0.44,True,True,True
Hanoi,VN,AS,21.03,105.85,1260,936,0.39,True,True,True
Jakarta,ID,AS,-6.175,106.827,2330,2208,,True,False,False
Manila,PH,AS,14.59,120.98,3888,3327,0.19,True,False,False
Dubai,AE,AS,25.26,55.3,700,700,0.7,True,False,False
New York,US,AN,40.74,-73.99,2676,2410,0.58,True,True,True
San Francisco,US,AN,37.78,-122.415,4989,2831,0.64,True,True,True
Chicago,US,AN,41.885,-87.63,1361,1255,0.69,True,False,False
Boston,US,AN,42.357,-71.06,4262,3466,0.46,True,True,True
New Orleans,US,AN,29.955,-90.07,2503,2497,1.06,True,False,False
Montreal,CA,AN,45.508,-73.56,1746,576,,True,False,False
Toronto,CA,AN,43.65,-79.385,1561,1441,0.48,True,True,True
Vancouver,CA,AN,49.282,-123.115,782,752,0.72,True,False,False
Mexico City,MX,AN,19.43,-99.15,2203,2203,0.35,True,True,True
Buenos Aires,AR,SA,-34.603,-58.38,2955,2707,0.78,True,False,False
Rio de Janeiro,BR,SA,-22.91,-43.18,3451,3413,0.74,True,False,False
Sao Paulo,BR,SA,-23.55,-46.64,4479,4445,0.7,True,False,False
Santiago,CL,SA,-33.44,-70.65,4944,4280,0.37,True,True,True
Lima,PE,SA,-12.05,-77.04,5262,4309,0.4,True,True,True
Bogota,CO,SA,4.6,-74.08,2485,2209,0.33,True,False,False
Sydney,AU,OC,-33.87,151.21,2514,2227,0.68,True,False,False
Melbourne,AU,OC,-37.814,144.963,3003,2884,0.91,True,False,False
Auckland,NZ,OC,-36.85,174.765,789,464,0.66,True,False,False
Cape Town,ZA,AF,-33.925,18.423,583,583,0.88,True,False,False
Marrakech,MA,AF,31.63,-8.0,754,647,0.58,True,True,True
Cairo,EG,AF,30.045,31.235,195,195,0.82,True,False,False
Mumbai,IN,SA,18.935,72.835,154,154,0.36,True,True,True
Delhi,IN,SA,28.633,77.219,181,181,0.38,True,True,True
