site,n_nodes_filtered,n_nodes_raw,nodes_per_km2,L_district_median_km,L_district_mean_km
cdmx_condesa,294,307,2.6,0.33,0.37
cdmx_roma,285,299,2.52,0.33,0.37
tokyo_yanaka,286,997,2.529,0.34,0.38
barcelona_born,129,129,1.141,0.39,0.43
barcelona_gracia,161,161,1.424,0.41,0.46
london_shoreditch,154,154,1.362,0.44,0.5
tokyo_shibuya,227,800,2.007,0.44,0.45
london_covent,149,149,1.317,0.48,0.51
paris_canal,110,110,0.973,0.5,0.52
paris_bastille,97,97,0.858,0.5,0.53
paris_montmartre,97,97,0.858,0.5,0.51
paris_marais,104,104,0.92,0.51,0.53
paris_cite,98,98,0.867,0.51,0.52
nyc_soho,76,76,0.672,0.54,0.61
sf_northbeach,45,45,0.398,0.55,0.6
tokyo_shimokita,166,704,1.468,0.58,0.59
london_nottinghill,86,86,0.76,0.6,0.66
sf_hayes,60,60,0.531,0.64,0.67
sf_mission,72,72,0.637,0.65,0.68
san_jose_ref,21,21,0.186,0.99,1.01
