band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,市政劇場,Stadsschouwburg,市政劇場,Q1817103,1.332,4,,9,4
0.5-1.5km,high,阿姆斯特丹市立博物馆,Stedelijk Museum Amsterdam,阿姆斯特丹市立博物館,Q924335,0.91,4,,9,4
0.5-1.5km,high,帕拉迪索夜總會,Paradiso (Amsterdam),帕拉迪索夜總會,Q1535378,1.321,4,,9,4
0.5-1.5km,high,阿姆斯特丹音乐厅,Concertgebouw,阿姆斯特丹音樂廳,Q849957,0.865,5,,9,4
0.5-1.5km,mid,伊格内修斯文理中学,Ignatius Gymnasium,伊格內修斯文理中學,Q2042382,0.959,2,,5,4
0.5-1.5km,mid,银河,Melkweg,銀河 (阿姆斯特丹),Q60481,1.338,3,,5,4
0.5-1.5km,mid,西清真寺,Westermoskee,西清真寺,Q2187049,1.094,3,,5,4
0.5-1.5km,mid,冯德尔教堂,Vondelkerk,Vondelkerk,Q2142834,0.675,2,,5,4
1.5-3.0km,high,国家纪念碑,National Monument (Amsterdam),國家紀念碑,Q473851,2.56,5,,42,4
1.5-3.0km,high,卡弗街,Kalverstraat,卡弗街,Q748443,2.199,5,,42,4
1.5-3.0km,high,阿姆斯特丹南站,Amsterdam Zuid station,阿姆斯特丹南站,Q49872,2.058,4,,42,4
1.5-3.0km,high,新教堂,"Nieuwe Kerk, Amsterdam",新教堂,Q1419675,2.561,5,,42,4
1.5-3.0km,mid,阿姆斯特丹证券交易所,Euronext Amsterdam,阿姆斯特丹证券交易所,Q478720,2.764,2,,35,4
1.5-3.0km,mid,阿拉德·皮尔逊博物馆,Allard Pierson Museum,Allard Pierson,Q130736773,2.242,2,,35,4
1.5-3.0km,mid,南教堂,Zuiderkerk,南教堂 (阿姆斯特丹),Q228629,2.689,3,,35,4
1.5-3.0km,mid,阿姆斯特丹大麻博物馆,"Hash, Marihuana & Hemp Museum",阿姆斯特丹大麻博物館,Q3783595,2.647,3,,35,4
1.5-3.0km,low,,Athenaeum Illustre,Athenaeum Illustre of Amsterdam,Q505639,2.42,1,,1,1
3.0-6.0km,high,性博物館 (阿姆斯特丹),Sexmuseum Amsterdam,性博物館 (阿姆斯特丹),Q3329876,3.028,4,,16,4
3.0-6.0km,high,泪水塔,Montelbaanstoren,淚水塔,Q1946061,3.149,4,,16,4
3.0-6.0km,high,阿提斯,Artis Zoo,阿提斯,Q713124,3.563,5,,16,4
3.0-6.0km,high,阿姆斯特丹森林,Amsterdamse Bos,阿姆斯特丹森林,Q511560,5.621,4,,16,4
3.0-6.0km,mid,斯劳特戴克,"Sloterdijk, Amsterdam",斯勞特戴克,Q3018576,3.63,3,,25,4
3.0-6.0km,mid,阿姆斯特丹穆伊德普特车站,Amsterdam Muiderpoort railway station,阿姆斯特丹玛德波特车站,Q50724,4.416,3,,25,4
3.0-6.0km,mid,阁楼上的吾主博物馆,Ons' Lieve Heer op Solder,阁楼上的吾主博物馆,Q493160,3.013,3,,25,4
3.0-6.0km,mid,阿姆斯特尔芬科布拉现代艺术博物馆,Cobra Museum,阿姆斯特尔芬科布拉现代艺术博物馆,Q2161858,5.92,2,,25,4
3.0-6.0km,low,荷兰数学和计算机科学研究学会,Centrum Wiskunde & Informatica,荷兰数学和计算机科学研究学会,Q1054410,5.811,1,,1,1
