band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,西班牙广场,Plaça d'Espanya,西班牙广场,Q2013874,0.872,5,,6,4
0.5-1.5km,high,西班牙广场站,Plaça d'Espanya station,西班牙廣場車站,Q669990,0.876,4,,6,4
0.5-1.5km,high,诺坎普球场,Camp Nou,魯營球場,Q159848,1.453,5,,6,4
0.5-1.5km,high,西班牙村,Poble Espanyol,小西班牙,Q1062480,1.219,4,,6,4
0.5-1.5km,mid,女人和鸟,Dona i Ocell,Dona i Ocell,Q593202,0.594,2,,8,4
0.5-1.5km,mid,罗卡福特站,Rocafort station,Rocafort,Q935853,1.205,2,,8,4
0.5-1.5km,mid,桑斯广场站,Plaça de Sants station,Plaça de Sants,Q2054359,0.53,3,,8,4
0.5-1.5km,mid,拉玛西亚,La Masia,拉瑪西亞,Q932739,1.488,2,,8,4
1.5-3.0km,high,对角线大道,Avinguda Diagonal,对角线大道,Q791045,2.461,5,,24,4
1.5-3.0km,high,加泰罗尼亚广场,Plaça de Catalunya,加泰罗尼亚广场,Q822881,2.668,5,,24,4
1.5-3.0km,high,国家宫,Palau Nacional,国家宫(巴塞罗那),Q2341107,1.616,5,,24,4
1.5-3.0km,high,蒙特惠奇城堡,Montjuïc Castle,蒙特惠奇城堡,Q2500125,2.78,4,,24,4
1.5-3.0km,mid,特德拉斯之家,Casa de les Punxes,特德拉斯之家,Q2561516,2.906,3,,32,4
1.5-3.0km,mid,托拉萨站,Torrassa station,Torrassa,Q2003013,2.298,3,,32,4
1.5-3.0km,mid,拉蒙·柳利学院,Institut Ramon Llull,拉蒙·尤依基金會,Q1664751,2.66,2,,32,4
1.5-3.0km,mid,帕拉雷尔站,Paral·lel station,帕拉雷爾站,Q2313145,2.421,3,,32,4
1.5-3.0km,low,加泰罗尼亚语语言学院,Institute for Catalan Studies,加泰羅尼亞語語言學院,Q756890,2.265,1,,2,2
1.5-3.0km,low,迷你球场,Mini Estadi,迷你球場,Q725581,1.833,1,,2,2
3.0-6.0km,high,巴塞罗内塔站,Barceloneta station,巴塞隆尼塔站,Q591874,3.829,4,,34,4
3.0-6.0km,high,桂尔公园,Park Güell,桂尔公园,Q212867,4.005,5,,34,4
3.0-6.0km,high,加泰罗尼亚荣耀广场,Plaça de les Glòries Catalanes,加泰罗尼亚荣耀广场,Q1426190,4.767,5,,34,4
3.0-6.0km,high,艺术酒店,Hotel Arts,藝術酒店,Q1425790,4.761,4,,34,4
3.0-6.0km,mid,蒙包站,Montbau station,Montbau,Q1850417,5.697,3,,38,4
3.0-6.0km,mid,巴德罗达站,Bac de Roda station,巴德罗达站,Q969395,5.926,2,,38,4
3.0-6.0km,mid,巴塞罗那海事博物馆,Maritime Museum of Barcelona,Maritime Museum of Barcelona,Q1286354,3.065,3,,38,4
3.0-6.0km,mid,蒂比达博大道站,Avinguda Tibidabo station,蒂比達博大道站,Q3504674,3.471,2,,38,4
3.0-6.0km,low,埃斯普卢格斯德略夫雷加特,Esplugues de Llobregat,埃斯普卢格斯德略夫雷加特,Q15621,4.526,1,,3,3
3.0-6.0km,low,,Sant Ildefons (Barcelona Metro),Sant Ildefons,Q962642,4.97,1,,3,3
3.0-6.0km,low,加泰罗尼亚开放大学,Open University of Catalonia,加泰罗尼亚开放大学,Q3042433,5.487,1,,3,3
