band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,黄金博物馆站,Museo del Oro station,Museo del Oro,Q6940567,0.91,5,,27,4
0.5-1.5km,high,波哥大银行大厦,Banco de Bogotá building,Banco de Bogotá building,Q5818022,1.011,4,,27,4
0.5-1.5km,high,圣贝尔纳多,San Bernardo,San Bernardo,Q5903207,0.912,4,,27,4
0.5-1.5km,high,拉斯涅韦斯,Las Nieves,Las Nieves,Q5970625,1.372,4,,27,4
0.5-1.5km,mid,拉特尔塞拉教堂,Iglesia La Tercera,Iglesia La Tercera,Q6447215,1.015,3,,23,4
0.5-1.5km,mid,国家法医学与犯罪学研究所,National Institute of Legal Medicine and Forensic Sciences,Instituto Nacional de Medicina Legal y Ciencias Forenses,Q9008715,0.824,2,,23,4
0.5-1.5km,mid,利瓦诺宫,Palacio Liévano,Palacio Liévano,Q3360886,0.5,3,,23,4
0.5-1.5km,mid,哥伦比亚信息与通信技术部,Ministry of Information Technologies and Communications,Ministry of Information Technologies and Communications,Q4294414,0.716,2,,23,4
0.5-1.5km,low,哥伦比亚人类学与历史研究所,Colombian Institute of Anthropology and History,Colombian Institute of Anthropology and History,Q3151868,0.732,1,,3,3
0.5-1.5km,low,曼努埃尔·穆里略·托罗大厦,Manuel Murillo Toro Building,Q111721634,Q111721634,0.791,1,,3,3
0.5-1.5km,low,哥伦比亚语言学院,Academia Colombiana de la Lengua,Academia Colombiana de la Lengua,Q3297341,1.261,1,,3,3
1.5-3.0km,high,波哥大现代艺术博物馆,Bogotá Museum of Modern Art,波哥大現代藝術博物館,Q640718,1.996,4,,24,4
1.5-3.0km,high,哥伦比亚国家博物馆,National Museum of Colombia,哥伦比亚国家博物馆,Q671264,2.58,5,,24,4
1.5-3.0km,high,内韦斯圣母教堂,"Iglesia de Nuestra Señora de las Nieves, Bogotá","Iglesia de Nuestra Señora de las Nieves, Bogotá",Q5909303,1.513,4,,24,4
1.5-3.0km,high,蒙塞拉特圣殿,Monserrate Sanctuary,Monserrate Sanctuary,Q390131,2.688,5,,24,4
1.5-3.0km,mid,波利卡尔帕,Policarpa,Policarpa,Q6081619,1.513,3,,20,4
1.5-3.0km,mid,记忆、和平与和解中心,"Memory, Peace and Reconciliation Centre","Centro de Memoria, Paz y Reconciliación",Q16490676,2.775,3,,20,4
1.5-3.0km,mid,五月一日大道站,Avenida Primero de Mayo station,Avenida Primero de Mayo station,Q5713999,2.647,3,,20,4
1.5-3.0km,mid,,"Laches, Bogotá",Los Laches,Q6468354,1.603,3,,20,4
1.5-3.0km,low,安全行政部大楼,Administrative Department of Security,安全行政部門,Q1190182,2.61,1,,1,1
3.0-6.0km,high,桑坦德将军站,General Santander (TransMilenio),General Santander,Q5532169,5.743,4,,14,4
3.0-6.0km,high,圣卢西亚站,Santa Lucía (TransMilenio),Santa Lucía,Q7419649,5.884,4,,14,4
3.0-6.0km,high,,"Veinte de Julio, Bogotá",Veinte de Julio,Q7918698,3.218,4,,14,4
3.0-6.0km,high,查韦里诺,Chapinero,查韦里诺,Q2647973,5.963,4,,14,4
3.0-6.0km,mid,圣伊格纳西奥大学医院,Hospital Universitario San Ignacio,Hospital Universitario San Ignacio,Q5908629,4.084,3,,25,4
3.0-6.0km,mid,阿方索·洛佩斯·普马雷霍体育场,Alfonso López Pumarejo Stadium,Alfonso López Pumarejo Stadium,Q4722060,5.269,3,,25,4
3.0-6.0km,mid,雷斯特雷波站,Restrepo (TransMilenio),Restrepo,Q9068313,3.039,3,,25,4
3.0-6.0km,mid,曼努埃拉·贝尔特兰大学,Manuela Beltrán University,Manuela Beltrán University,Q6753029,5.918,3,,25,4
3.0-6.0km,low,实现正义：法律、正义暨社会中心,Dejusticia,實現正義：法律、正義暨社會中心,Q61932619,3.476,1,,3,3
3.0-6.0km,low,哥伦比亚环境与可持续发展部,Ministry of Environment and Sustainable Development (Colombia),Ministry of Environment and Sustainable Development,Q3062233,3.665,1,,3,3
3.0-6.0km,low,,Alto de La Viga,Alto de La Viga,Q23725928,5.056,1,,3,3
