band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,罗马区,Colonia Roma,科洛尼亚罗马,Q584381,1.146,5,,4,4
0.5-1.5km,high,少年英雄纪念碑,Monumento a los Niños Héroes,Monumento a los Niños Héroes,Q19381838,1.456,4,,4,4
0.5-1.5km,high,奇尔潘辛戈站,Chilpancingo metro station,Chilpancingo,Q3431073,0.62,4,,4,4
0.5-1.5km,high,查普尔特佩克站,Chapultepec metro station,Chapultepec,Q3357035,1.221,5,,4,4
0.5-1.5km,mid,Patriotismo站,Patriotismo metro station,Patriotismo,Q6824665,0.986,3,,7,4
0.5-1.5km,mid,西贝莱斯喷泉,Fuente de Cibeles (Mexico City),Fuente de Cibeles,Q129506,1.111,3,,7,4
0.5-1.5km,mid,光之柱,Estela de Luz,Q8843219,Q8843219,1.433,3,,7,4
0.5-1.5km,mid,Juanacatlán站,Juanacatlán metro station,Juanacatlán,Q3356938,1.19,3,,7,4
0.5-1.5km,low,,Salón de la Plástica Mexicana,Salón de la Plástica Mexicana,Q845947,1.404,1,,2,2
0.5-1.5km,low,墨西哥足球协会,Mexican Football Federation,墨西哥足球协会,Q1160682,0.764,1,,2,2
1.5-3.0km,high,主塔大厦,Torre Mayor,主塔大廈,Q844813,1.54,4,,20,4
1.5-3.0km,high,国立礼堂,Auditorio Nacional,國立禮堂,Q286179,2.936,4,,20,4
1.5-3.0km,high,奥迪托里奥站,Auditorio metro station,Auditorio,Q6824492,2.729,4,,20,4
1.5-3.0km,high,查普尔特佩克城堡,Chapultepec Castle,查普尔特佩克城堡,Q1072510,1.543,5,,20,4
1.5-3.0km,mid,查普尔特佩克游乐园,La Feria de Chapultepec,La Feria Chapultepec Mágico,Q1811321,2.649,2,,23,4
1.5-3.0km,mid,孔斯蒂图延特斯站,Constituyentes metro station,Constituyentes,Q5944586,2.127,3,,23,4
1.5-3.0km,mid,小首尔,Pequeño Seúl,小首尔,Q16242883,1.511,2,,23,4
1.5-3.0km,mid,西凯罗斯文化论坛,Polyforum Cultural Siqueiros,Polyforum Cultural Siqueiros,Q2265075,1.984,2,,23,4
1.5-3.0km,low,墨西哥铸币厂,Mexican Mint,Mexican Mint,Q4582964,2.04,1,,3,3
1.5-3.0km,low,能源部,Secretariat of Energy,能源秘書處,Q750165,2.734,1,,3,3
1.5-3.0km,low,国家气象局,National Meteorological Service (Mexico),國家氣象局,Q3306386,2.801,1,,3,3
3.0-6.0km,high,皮诺·苏亚雷斯站,Pino Suárez metro station,皮诺·苏亚雷斯站,Q3357008,4.298,4,,34,4
3.0-6.0km,high,宪法广场,Zócalo,宪法广场,Q1348507,4.633,5,,34,4
3.0-6.0km,high,大神庙,Templo Mayor,大神庙,Q774021,4.937,5,,34,4
3.0-6.0km,high,索马亚博物馆,Museo Soumaya,索馬亞博物館,Q2097646,4.828,4,,34,4
3.0-6.0km,mid,索拉站,Xola metro station,Xola,Q3356924,3.909,3,,69,4
3.0-6.0km,mid,欧亨尼亚站,Eugenia metro station,Eugenia,Q6824568,3.122,3,,69,4
3.0-6.0km,mid,格雷罗地铁站,Guerrero metro station,Guerrero,Q6824578,4.651,3,,69,4
3.0-6.0km,mid,波兰科地铁站,Polanco metro station,Polanco,Q6824672,3.268,3,,69,4
3.0-6.0km,low,天堂之门主教座堂,Porta Coeli Cathedral,天堂之门主教座堂,Q27925183,4.082,1,,6,4
3.0-6.0km,low,国家版画博物馆,Museo Nacional de la Estampa,Museo Nacional de la Estampa,Q2893965,4.133,1,,6,4
3.0-6.0km,low,胡斯托谢拉街71号犹太会堂,Historic Synagogue Justo Sierra 71,胡斯托谢拉街71号犹太会堂,Q12220576,5.232,1,,6,4
3.0-6.0km,low,三方同盟花园,Garden of the Triple Alliance,Garden of the Triple Alliance,Q3031817,4.332,1,,6,4
