band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,甘地纪念馆,Gandhi Smriti,甘地纪念馆,Q1381516,1.391,5,,12,4
0.5-1.5km,high,议会路,Sansad Marg,國會路,Q12455046,1.275,4,,12,4
0.5-1.5km,high,中央事务局站,Central Secretariat metro station,中央事務局站,Q5061812,0.534,5,,12,4
0.5-1.5km,high,新德里帝国饭店,"The Imperial, New Delhi",新德里帝國飯店,Q15707404,1.271,4,,12,4
0.5-1.5km,mid,德里艺术画廊,Delhi Art Gallery,Delhi Art Gallery,Q120849591,0.503,2,,16,4
0.5-1.5km,mid,维吉安巴万,Vigyan Bhawan,Vigyan Bhavan,Q7929025,0.546,3,,16,4
0.5-1.5km,mid,阿克巴路,Akbar Road,阿克巴路,Q4700437,0.86,3,,16,4
0.5-1.5km,mid,巴罗达府,Baroda House,Baroda House,Q16207035,1.336,2,,16,4
0.5-1.5km,low,科学与工业研究委员会,Council of Scientific and Industrial Research,科学与工业研究委员会,Q3519967,0.683,1,,4,4
0.5-1.5km,low,,Cochin House,Cochin House,Q16827225,1.033,1,,4,4
0.5-1.5km,low,印度民主青年联盟,Democratic Youth Federation of India,印度民主青年聯盟,Q3344913,0.539,1,,4,4
0.5-1.5km,low,新德里国家集邮博物馆,"National Philatelic Museum, New Delhi","National Philatelic Museum, New Delhi",Q6974901,1.013,1,,4,4
1.5-3.0km,high,贾恩帕特路,Janpath,人民大道,Q3635068,1.532,4,,20,4
1.5-3.0km,high,普拉纳城堡,Purana Qila,Purana Qila,Q1151529,2.687,4,,20,4
1.5-3.0km,high,希瓦吉桥火车站,Shivaji Bridge railway station,希瓦吉橋火車站,Q12454277,2.405,4,,20,4
1.5-3.0km,high,班戈拉·撒西比谒师所,Gurdwara Bangla Sahib,班戈拉·撒西比谒师所,Q2375435,1.614,5,,20,4
1.5-3.0km,mid,耶稣圣心主教座堂,"Sacred Heart Cathedral, New Delhi",耶稣圣心主教座堂,Q1089554,1.917,3,,27,4
1.5-3.0km,mid,班加班杜·谢赫·穆吉布路,Bangabandhu Sheikh Mujib Road,Bangabandhu Sheikh Mujib Road,Q64343222,2.305,3,,27,4
1.5-3.0km,mid,德里高等法院,Delhi High Court,徳里高等法院,Q1184183,1.946,3,,27,4
1.5-3.0km,mid,玛塔·孙德里谒师所,Gurdwara Mata Sundri,Gurdwara Mata Sundri,Q5619968,2.78,2,,27,4
1.5-3.0km,low,地球科学部,Ministry of Earth Sciences,地球科学部,Q4294372,2.688,1,,4,4
1.5-3.0km,low,观察家研究基金会,Observer Research Foundation,觀察家研究基金會,Q10860333,2.702,1,,4,4
1.5-3.0km,low,,Morarji Desai National Institute of Yoga,Morarji Desai National Institute of Yoga,Q18128191,1.772,1,,4,4
1.5-3.0km,low,印度工会联盟中心,Centre of Indian Trade Unions,印度工會聯盟中心,Q3595827,2.696,1,,4,4
3.0-6.0km,high,德里国家动物园,National Zoological Park Delhi,National Zoological Park Delhi,Q3364809,3.033,4,,58,4
3.0-6.0km,high,桑德尔苗圃,Sunder Nursery,Sunder Nursery,Q15628824,3.354,4,,58,4
3.0-6.0km,high,达里巴卡兰,Dariba Kalan,Dariba Kalan,Q3630951,4.871,4,,58,4
3.0-6.0km,high,珍蒂瓦蓝站,Jhandewalan metro station,珍蒂瓦藍站,Q6190836,3.768,4,,58,4
3.0-6.0km,mid,新庙,Naya Mandir,新庙,Q6983043,4.528,2,,55,4
3.0-6.0km,mid,巴基斯坦驻印度高级专员公署,"High Commission of Pakistan, New Delhi","High Commission of Pakistan, New Delhi",Q27031139,3.437,3,,55,4
3.0-6.0km,mid,迦利布故居,Ghalib ki Haveli,Ghalib ki Haveli,Q15816551,4.556,2,,55,4
3.0-6.0km,mid,阿育王石柱 (费罗兹沙·科特拉),"Ashoka pillar, Feroz Shah Kotla","Ashoka pillar, Feroz Shah Kotla, Delhi",Q22806981,3.655,3,,55,4
3.0-6.0km,low,,Madrasa Ghaziuddin Khan,Madrasa Ghaziuddin Khan,Q119597132,3.566,1,,4,4
3.0-6.0km,low,红堡鼓楼,Naubat Khana,鼓楼 (红堡),Q16895720,5.185,1,,4,4
3.0-6.0km,low,天帝城,Indraprastha,天帝城,Q1975540,3.446,1,,4,4
3.0-6.0km,low,红堡考古博物馆,Red Fort Archaeological Museum,Red Fort Archaeological Museum,Q16899203,5.168,1,,4,4
