band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,利马大都会博物馆,Metropolitan Museum of Lima,Metropolitan Museum of Lima,Q20021983,0.526,5,,19,4
0.5-1.5km,high,利马战神广场,El Campo de Marte,利馬戰士廣場,Q3390457,0.844,5,,19,4
0.5-1.5km,high,秘鲁最高法院,Supreme Court of Peru,秘鲁最高法院,Q5789494,1.081,4,,19,4
0.5-1.5km,high,,Polvos Azules,Polvos Azules,Q111515051,0.602,4,,19,4
0.5-1.5km,mid,巴尔托洛梅·埃雷拉纪念碑,Monument to Bartolomé Herrera,Monument to Bartolomé Herrera,Q98071460,1.444,2,,13,4
0.5-1.5km,mid,里马克大厦,Edificio Rímac,Edificio Rímac,Q5818277,1.333,3,,13,4
0.5-1.5km,mid,曼科·卡帕克广场,Plaza Manco Cápac,Plaza Manco Cápac,Q34567067,0.539,3,,13,4
0.5-1.5km,mid,永援圣母圣殿,"Basilica of Mary Help of Christians, Lima",永援圣母圣殿 (利马),Q21515097,1.19,3,,13,4
1.5-3.0km,high,武器广场,"Plaza Mayor, Lima",武器广场,Q2536763,2.38,5,,40,4
1.5-3.0km,high,玻利瓦尔广场,Plaza Bolívar,Plaza Bolívar,Q6079438,2.329,5,,40,4
1.5-3.0km,high,秘鲁立法宫,Legislative Palace (Peru),秘鲁立法宫,Q5201385,2.3,5,,40,4
1.5-3.0km,high,五月二日广场,Plaza Dos de Mayo,五月二日广场,Q5202174,2.508,4,,40,4
1.5-3.0km,mid,秘鲁中央储备银行博物馆,Museum of the Central Reserve Bank of Peru,Museo del Banco Central de Reserva del Perú,Q42849962,2.141,3,,50,4
1.5-3.0km,mid,秘鲁国家总档案馆,General Archive of the Nation (Peru),秘魯國家檔案館,Q5702926,2.593,2,,50,4
1.5-3.0km,mid,太平洋大学,Universidad del Pacífico (Peru),太平洋大學,Q2636927,2.447,3,,50,4
1.5-3.0km,mid,查布卡·格兰达林荫道,Alameda Chabuca Granda,Alameda Chabuca Granda,Q5662159,2.737,3,,50,4
1.5-3.0km,low,,Banco Comercial,Banco Comercial,Q123159337,1.665,1,,1,1
3.0-6.0km,high,哈维尔普拉多大道,Avenida Javier Prado,哈維爾普拉多大道,Q5713744,3.059,4,,21,4
3.0-6.0km,high,国立圣马尔科斯大学,National University of San Marcos,国立圣马尔科斯大学,Q270145,5.483,5,,21,4
3.0-6.0km,high,秘鲁天主教宗座大学,Pontifical Catholic University of Peru,秘魯天主教宗座大學,Q200601,4.978,4,,21,4
3.0-6.0km,high,秘鲁日本剧院,Teatro Peruano Japonés,Teatro Peruano Japonés,Q4992895,3.26,4,,21,4
3.0-6.0km,mid,德尔费内斯酒店及会议中心,Delfines Hotel & Convention Center,Delfines Hotel & Convention Center,Q5903386,3.717,3,,37,4
3.0-6.0km,mid,埃尔安赫尔站,El Ángel metro station,El Ángel station,Q17630330,3.505,3,,37,4
3.0-6.0km,mid,大陆银行大厦,Edificio Banco Continental,Edificio Banco Continental,Q5818019,3.258,3,,37,4
3.0-6.0km,mid,圣博尔哈南站,San Borja Sur metro station,San Borja Sur station,Q6118503,5.127,3,,37,4
3.0-6.0km,low,利马坦博国际机场,Limatambo International Airport,Limatambo International Airport,Q6548902,3.98,1,,2,2
3.0-6.0km,low,乔卡文托大厦,Chocavento Tower,Chocavento Tower,Q5103499,3.677,1,,2,2
