band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,拉里萨门,Bab Laarissa,Bab Laarissa,Q58897230,1.424,4,,9,4
0.5-1.5km,high,穆罕默德五世大道,Avenue Mohammed V,Avenue Mohammed V,Q97159628,0.705,4,,9,4
0.5-1.5km,high,恩科布门,Bab Nkob,Bab Nkob,Q91901868,1.317,4,,9,4
0.5-1.5km,high,埃尔哈蒂体育场,El Harti Stadium,Stade El Harti,Q3495581,0.526,4,,9,4
0.5-1.5km,mid,阿维森纳军事医院,Avicenne Military Hospital,Hôpital militaire Avicenne,Q30281418,0.855,3,,5,4
0.5-1.5km,mid,西迪优素福·本·阿里体育场,Sidi Youssef Ben Ali Stadium,Sidi-Youssef-Ben-Ali stadium,Q595025,1.395,3,,5,4
0.5-1.5km,mid,马拉喀什塞万提斯学院图书馆,"Cervantes Institute Library, Marrakech",Cervantes institute library in Marrakesh,Q85726847,0.883,2,,5,4
0.5-1.5km,mid,圣殉道者教堂,Church of the Saints Martyrs,Church of the Saints Martyrs,Q3585929,0.754,3,,5,4
0.5-1.5km,low,马拉喀什集中营,Marrakech concentration camp,Marrakech concentration camp,Q45509383,1.48,1,,1,1
1.5-3.0km,high,巴布杜卡拉门,Bab Doukkala,Bab Dukkala,Q12195551,1.582,4,,21,4
1.5-3.0km,high,本优素福伊斯兰学院,Ben Youssef Madrasa,本優素福伊斯蘭學院,Q1560540,2.734,5,,21,4
1.5-3.0km,high,阿格瑙门,Bab Agnaou,阿格瑙门,Q4837210,2.63,5,,21,4
1.5-3.0km,high,梅纳拉花园,Menara Gardens,梅纳拉花园,Q1920259,1.679,4,,21,4
1.5-3.0km,mid,马拉喀什空军基地,Marrakech Air Base,Marrakech Air Base,Q18214101,2.71,2,,30,4
1.5-3.0km,mid,穆阿西纳清真寺,Mouassine Mosque,Al-Shorafaa Mosque,Q3324857,2.389,3,,30,4
1.5-3.0km,mid,泰勒别墅,Villa Taylor,泰勒別墅,Q111951505,2.65,3,,30,4
1.5-3.0km,mid,穆阿西纳博物馆,Mouassine Museum,Mouassine Museum,Q96394004,2.451,2,,30,4
1.5-3.0km,low,,Riad Jennah Rouge,Riad Jennah Rouge,Q111121347,2.017,1,,1,1
3.0-6.0km,high,巴迪王宫,El Badi Palace,巴迪王宮,Q1277747,3.001,5,,16,4
3.0-6.0km,high,星期四门,Bab el-Khemis (Marrakesh),Bab El Khemis (Marrakech),Q58897216,3.077,5,,16,4
3.0-6.0km,high,马拉喀什迈纳拉国际机场,Marrakesh Menara Airport,马拉喀什－迈纳拉国际机场,Q429304,3.388,5,,16,4
3.0-6.0km,high,阿尔法西亚·阿格达尔,Al Fassia Aguedal,Al Fassia Aguedal,Q111409214,5.214,4,,16,4
3.0-6.0km,mid,伊本·纳菲斯医院,Ibn Al-Nafees Hospital,Ibn Al-Nafees Hospital,Q5984171,4.855,3,,23,4
3.0-6.0km,mid,巴布德巴格,Bab ad-Debbagh,Bab Debbagh,Q58897207,3.418,3,,23,4
3.0-6.0km,mid,达西赛义德博物馆,Dar Si Said Museum,Dar Si Said Museum,Q3329122,3.023,3,,23,4
3.0-6.0km,mid,马拉喀什国立高等学院,Ecole Nationale Supérieure de Marrakech,Ecole Nationale Supérieure de Marrakech,Q100144541,3.378,2,,23,4
3.0-6.0km,low,,Riad 58 Blu,Riad 58 Blu,Q111409128,3.008,1,,1,1
