band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,艺术宫,Palacio de Bellas Artes,艺术宫,Q1139081,1.184,5,,15,4
0.5-1.5km,high,墨西哥邮政宫,Palacio de Correos de México,墨西哥邮政宫,Q978161,1.289,4,,15,4
0.5-1.5km,high,胡亚雷斯站,Juárez metro station,胡亞雷斯站,Q6824601,0.65,4,,15,4
0.5-1.5km,high,马德罗大街,Madero Street,马德罗大街,Q8255434,1.408,5,,15,4
0.5-1.5km,mid,内政部秘书处,Secretariat of the Interior,內政部秘書處,Q1507054,0.543,2,,21,4
0.5-1.5km,mid,伊图尔维德宫,Palace of Iturbide,伊圖爾維德宮,Q130898,1.246,2,,21,4
0.5-1.5km,mid,,Eje Central,Eje Central,Q2089512,1.204,3,,21,4
0.5-1.5km,mid,夸乌特莫克站,Cuauhtémoc metro station (Mexico City),库奥特莫克站,Q3356912,0.619,3,,21,4
0.5-1.5km,low,天堂之门主教座堂,Porta Coeli Cathedral,天堂之门主教座堂,Q27925183,1.143,1,,1,1
1.5-3.0km,high,起义者大道站,Insurgentes metro station,起义者大道站,Q3301776,1.553,4,,22,4
1.5-3.0km,high,戴安娜狩猎女神喷泉,Diana the Huntress Fountain,Diana the Huntress fountain,Q2323702,2.389,4,,22,4
1.5-3.0km,high,墨西哥城主教座堂,Mexico City Metropolitan Cathedral,墨西哥城主教座堂,Q610961,1.843,5,,22,4
1.5-3.0km,high,粉红区,"Zona Rosa, Mexico City",粉红区,Q181649,1.595,5,,22,4
1.5-3.0km,mid,墨西哥石油公司总部大楼,Torre Ejecutiva Pemex,墨西哥石油公司總部大樓,Q948178,2.979,3,,36,4
1.5-3.0km,mid,特诺奇蒂特兰,Tenochtitlan,特諾奇提特蘭,Q13695,2.032,2,,36,4
1.5-3.0km,mid,莫里斯科亭,Morisco Kiosk,Morisco Kiosk,Q54820837,2.604,2,,36,4
1.5-3.0km,mid,,Punto Chapultepec,Punto Chapultepec,Q6093171,2.805,3,,36,4
1.5-3.0km,low,,Salón de la Plástica Mexicana,Salón de la Plástica Mexicana,Q845947,1.543,1,,6,4
1.5-3.0km,low,墨西哥铸币厂,Mexican Mint,Mexican Mint,Q4582964,1.737,1,,6,4
1.5-3.0km,low,墨西哥足球协会,Mexican Football Federation,墨西哥足球协会,Q1160682,2.436,1,,6,4
1.5-3.0km,low,巴尔巴内拉圣母主教座堂,"Valvanera Cathedral, Mexico City",巴尔巴内拉圣母主教座堂,Q2942226,1.963,1,,6,4
3.0-6.0km,high,查普尔特佩克动物园,Chapultepec Zoo,查普尔特佩克动物园,Q3375717,4.232,4,,24,4
3.0-6.0km,high,马萨里克总统大道,Avenida Presidente Masaryk,Avenida Presidente Masaryk,Q790480,5.014,4,,24,4
3.0-6.0km,high,三种文化广场,Plaza de las Tres Culturas,三种文化广场,Q1851912,3.016,5,,24,4
3.0-6.0km,high,波兰科,Polanco,波朗科,Q785318,5.384,5,,24,4
3.0-6.0km,mid,自行车场站,Velódromo metro station,自行車場站,Q6824767,5.261,3,,38,4
3.0-6.0km,mid,圣佩德罗-德洛斯皮诺斯站,San Pedro de los Pinos metro station,San Pedro de los Pinos,Q5841189,5.589,3,,38,4
3.0-6.0km,mid,拉维加站,La Viga metro station,La Viga,Q9019049,3.337,3,,38,4
3.0-6.0km,mid,波波特拉站,Popotla metro station,Popotla,Q3356929,3.846,3,,38,4
3.0-6.0km,low,国家气象局,National Meteorological Service (Mexico),國家氣象局,Q3306386,5.642,1,,2,2
3.0-6.0km,low,能源部,Secretariat of Energy,能源秘書處,Q750165,5.265,1,,2,2
