band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,森皮奥内公园,Parco Sempione,森皮奥内公园,Q133963,0.524,5,,21,4
0.5-1.5km,high,圣老楞佐圣殿,Basilica of San Lorenzo,圣老楞佐圣殿 (米兰),Q810080,1.292,4,,21,4
0.5-1.5km,high,大教堂站,Duomo (Milan Metro),大教堂站,Q2519375,1.253,5,,21,4
0.5-1.5km,high,圣心天主教大学,Università Cattolica del Sacro Cuore,圣心天主教大学,Q229022,0.628,4,,21,4
0.5-1.5km,mid,奧梅諾尼家族宅第,Casa degli Omenoni,奧梅諾尼家族宅第,Q259339,1.31,2,,32,4
0.5-1.5km,mid,朱利康素蒂宫,Palazzo dei Giureconsulti,朱利康素蒂宫,Q839012,1.079,2,,32,4
0.5-1.5km,mid,普拉托的圣味增爵圣殿,San Vincenzo in Prato,普拉托的圣味增爵圣殿,Q1255998,1.216,2,,32,4
0.5-1.5km,mid,斯卡拉大剧院博物馆,Museo Teatrale alla Scala,斯卡拉大剧院博物馆,Q51099,1.113,3,,32,4
0.5-1.5km,low,诺悠翩雅,Loro Piana,诺悠翩雅,Q1686544,1.338,1,,1,1
1.5-3.0km,high,维拉斯加塔,Torre Velasca,Torre Velasca,Q1156274,1.545,5,,18,4
1.5-3.0km,high,蒙特拿破仑大街,Via Monte Napoleone,蒙特拿破仑大街,Q2362714,1.56,5,,18,4
1.5-3.0km,high,圣巴比拉教堂,San Babila Church,San Babila Church,Q1255602,1.816,5,,18,4
1.5-3.0km,high,圣巴比拉站,San Babila metro station,San Babila,Q1087622,1.753,4,,18,4
1.5-3.0km,mid,米兰综合医院,Policlinico of Milan,Policlinico of Milan,Q1413761,1.893,2,,24,4
1.5-3.0km,mid,受难圣母堂,Santa Maria della Passione,受难圣母堂,Q1256328,2.247,2,,24,4
1.5-3.0km,mid,巴加蒂·瓦尔塞基博物馆,Bagatti Valsecchi Museum,巴加蒂·瓦爾塞基博物館,Q838986,1.569,2,,24,4
1.5-3.0km,mid,博科尼大学,Bocconi University,博科尼大学,Q959524,2.333,3,,24,4
1.5-3.0km,low,圣彼得罗·因·杰萨泰教堂,San Pietro in Gessate,San Pietro in Gessate Church,Q901469,2.145,1,,1,1
3.0-6.0km,high,洛雷托广场,Piazzale Loreto,洛雷托广场,Q525297,3.787,4,,5,4
3.0-6.0km,high,圣西罗球场站,San Siro Stadio (Milan Metro),聖西路球場站,Q3947983,4.513,4,,5,4
3.0-6.0km,high,圣西罗球场,San Siro,圣西罗球场,Q133566,4.136,5,,5,4
3.0-6.0km,high,法马古斯塔站,Famagosta,法马古斯塔站,Q3064844,3.467,4,,5,4
3.0-6.0km,mid,米兰奥运村,Milan Olympic Village,Milan Olympic Village,Q112134535,3.304,2,,2,2
3.0-6.0km,mid,塞韦索河,Seveso River,塞韋索河,Q597454,3.267,2,,2,2
