band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,地狱厨房,Hell's Kitchen,地獄廚房,Q840133,0.971,5,,24,4
0.5-1.5km,high,第七大道,Seventh Avenue,第七大道,Q109926,1.191,5,,24,4
0.5-1.5km,high,全国广播公司,NBC,全國廣播公司,Q13974,0.759,4,,24,4
0.5-1.5km,high,西格拉姆大厦,Seagram Building,西格拉姆大厦,Q737484,1.343,4,,24,4
0.5-1.5km,mid,史坦威大厦,111 West 57th Street,史坦威大厦,Q2631268,1.305,2,,12,4
0.5-1.5km,mid,诺德斯特姆塔,Central Park Tower,諾德斯特姆塔,Q2631701,1.274,3,,12,4
0.5-1.5km,mid,新闻集团,News Corp,新闻集团,Q14289857,0.524,3,,12,4
0.5-1.5km,mid,赫斯特大楼,Hearst Tower,赫斯特大樓,Q859452,1.213,3,,12,4
0.5-1.5km,low,埃克森大厦,1251 Avenue of the Americas,埃克森大厦,Q173498,0.69,1,,3,3
0.5-1.5km,low,洛克菲勒基金会,Rockefeller Foundation,洛克菲勒基金會,Q862034,0.696,1,,3,3
0.5-1.5km,low,索罗大厦,Solow Building,索罗大厦,Q632019,1.395,1,,3,3
1.5-3.0km,high,联合国总部大楼,Headquarters of the United Nations,联合国总部大楼,Q11297,1.862,5,,24,4
1.5-3.0km,high,第五大道,Fifth Avenue,第五大道,Q109858,2.72,5,,24,4
1.5-3.0km,high,切尔西旅馆,Hotel Chelsea,切尔西旅馆,Q240711,1.51,5,,24,4
1.5-3.0km,high,皇后区大桥,Queensboro Bridge,Queensboro橋,Q125157,2.786,4,,24,4
1.5-3.0km,mid,达科他公寓,The Dakota,達科他公寓,Q829806,2.479,3,,9,4
1.5-3.0km,mid,美国福特基金会,Ford Foundation,美國福特基金會,Q1313036,1.573,2,,9,4
1.5-3.0km,mid,弗里克收藏馆,Frick Collection,弗里克收藏,Q682827,2.404,2,,9,4
1.5-3.0km,mid,花旗集团中心,Citigroup Center,花旗集團中心,Q391243,1.5,3,,9,4
3.0-6.0km,high,纽约公共图书馆,New York Public Library,纽约公共图书馆,Q219555,5.057,5,,40,4
3.0-6.0km,high,翠贝卡,Tribeca,翠貝卡,Q766014,4.53,4,,40,4
3.0-6.0km,high,下东城,Lower East Side,下东城,Q1511813,4.327,5,,40,4
3.0-6.0km,high,炮台公园城,Battery Park City,砲台公園城,Q810961,5.37,4,,40,4
3.0-6.0km,mid,纽约大学蒂施艺术学院,New York University Tisch School of the Arts,紐約大學蒂施藝術學院,Q797078,3.032,2,,22,4
3.0-6.0km,mid,世界金融中心,Brookfield Place,世界金融中心,Q8006299,5.347,3,,22,4
3.0-6.0km,mid,世界贸易中心七号大楼,7 World Trade Center,世界貿易中心七號大樓,Q270066,5.179,3,,22,4
3.0-6.0km,mid,威霍肯,Weehawken,威活肯,Q176410,3.162,3,,22,4
3.0-6.0km,low,西纽约,"West New York, New Jersey",西紐約,Q950205,3.775,1,,4,4
3.0-6.0km,low,世界贸易中心五号大楼,5 World Trade Center,世界貿易中心五號大樓,Q1586672,5.595,1,,4,4
3.0-6.0km,low,苏富比,Sotheby's,蘇富比,Q654762,3.096,1,,4,4
3.0-6.0km,low,加滕伯格（新泽西州）,"Guttenberg, New Jersey",加滕伯格,Q1021545,4.319,1,,4,4
