band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,麦迪逊广场花园,Madison Square Garden,麦迪逊广场花园,Q186125,1.02,5,,25,4
0.5-1.5km,high,第六大道,Sixth Avenue,第六大道,Q109873,1.159,5,,25,4
0.5-1.5km,high,克莱斯勒大厦,Chrysler Building,克萊斯勒大廈,Q11274,0.572,5,,25,4
0.5-1.5km,high,切尔西旅馆,Hotel Chelsea,切尔西旅馆,Q240711,1.384,5,,25,4
0.5-1.5km,mid,特朗普世界大厦,Trump World Tower,川普世界中心,Q844324,1.232,3,,10,4
0.5-1.5km,mid,叮砰巷,Tin Pan Alley,叮砰巷,Q1121111,0.767,3,,10,4
0.5-1.5km,mid,宾州广场一号,One Penn Plaza,宾州广场一号,Q1138648,1.014,2,,10,4
0.5-1.5km,mid,美国银行大厦,Bank of America Tower (Manhattan),美國銀行大廈,Q328505,0.753,3,,10,4
0.5-1.5km,low,埃克森大厦,1251 Avenue of the Americas,埃克森大厦,Q173498,1.245,1,,1,1
1.5-3.0km,high,地狱厨房,Hell's Kitchen,地獄廚房,Q840133,1.93,5,,28,4
1.5-3.0km,high,大都会歌剧院,Metropolitan Opera House,大都會歌劇院,Q10583424,2.675,4,,28,4
1.5-3.0km,high,广场饭店,Plaza Hotel,广场饭店,Q1066676,1.848,5,,28,4
1.5-3.0km,high,曼哈顿,Manhattan,曼哈頓,Q11299,2.512,5,,28,4
1.5-3.0km,mid,诺豪区,"NoHo, Manhattan",紐約諾豪區,Q513254,2.531,3,,15,4
1.5-3.0km,mid,美国广播公司,American Broadcasting Company,美国广播公司,Q169889,2.728,2,,15,4
1.5-3.0km,mid,环球广场一号,One Worldwide Plaza,环球广场一号,Q1342690,1.56,3,,15,4
1.5-3.0km,mid,弗里克收藏馆,Frick Collection,弗里克收藏,Q682827,2.759,2,,15,4
1.5-3.0km,low,索罗大厦,Solow Building,索罗大厦,Q632019,1.773,1,,1,1
3.0-6.0km,high,世界贸易中心一号大楼,One World Trade Center,世界貿易中心一號大樓,Q11245,4.806,5,,41,4
3.0-6.0km,high,威廉斯堡大桥,Williamsburg Bridge,威廉斯堡大橋,Q125068,4.098,5,,41,4
3.0-6.0km,high,大都会艺术博物馆,Metropolitan Museum of Art,大都會藝術博物館,Q160236,3.737,5,,41,4
3.0-6.0km,high,世界贸易中心,World Trade Center,世界贸易中心,Q20861677,4.884,5,,41,4
3.0-6.0km,mid,罗斯福岛,Roosevelt Island,羅斯福島 (紐約),Q909777,3.12,3,,18,4
3.0-6.0km,mid,达科他公寓,The Dakota,達科他公寓,Q829806,3.129,3,,18,4
3.0-6.0km,mid,世界金融中心三号,200 Vesey Street,世界金融中心三号,Q2074091,4.809,2,,18,4
3.0-6.0km,mid,公园街大楼,Park Row Building,公園街大樓,Q1066662,4.732,2,,18,4
3.0-6.0km,low,西纽约,"West New York, New Jersey",西紐約,Q950205,4.74,1,,4,4
3.0-6.0km,low,加滕伯格（新泽西州）,"Guttenberg, New Jersey",加滕伯格,Q1021545,5.263,1,,4,4
3.0-6.0km,low,苏富比,Sotheby's,蘇富比,Q654762,3.06,1,,4,4
3.0-6.0km,low,世界贸易中心五号大楼,5 World Trade Center,世界貿易中心五號大樓,Q1586672,5.11,1,,4,4
