band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,共和国广场,Place de la République,共和国广场,Q175055,0.683,4,,6,4
0.5-1.5km,high,巴黎毕加索博物馆,Musée Picasso Paris,巴黎畢卡索美術館,Q743206,0.717,4,,6,4
0.5-1.5km,high,蓬皮杜中心,Centre Pompidou,龐畢度中心,Q178065,1.386,5,,6,4
0.5-1.5km,high,玛莱区,The Marais,玛莱区,Q749573,0.807,5,,6,4
0.5-1.5km,mid,ESCP欧洲商学院,ESCP Business School,ESCP欧洲商学院,Q29293,0.743,2,,6,4
0.5-1.5km,mid,卡纳瓦莱博物馆,Musée Carnavalet,卡纳瓦莱博物馆,Q640447,0.866,3,,6,4
0.5-1.5km,mid,国立现代艺术博物馆,Musée National d'Art Moderne,國立現代藝術博物館,Q1895953,1.384,3,,6,4
0.5-1.5km,mid,巴士底狱,Bastille,巴士底狱,Q1865480,1.088,3,,6,4
1.5-3.0km,high,卢森堡宫,Luxembourg Palace,卢森堡宫,Q329852,2.937,5,,29,4
1.5-3.0km,high,拉丁区,Latin Quarter,拉丁区,Q321621,2.531,5,,29,4
1.5-3.0km,high,巴黎植物园,Jardin des Plantes,巴黎植物園,Q730948,2.281,4,,29,4
1.5-3.0km,high,卢浮宫博物馆,Louvre,卢浮宫博物馆,Q19675,2.569,5,,29,4
1.5-3.0km,mid,圣路易岛,Île Saint-Louis,聖路易島,Q211034,1.649,3,,19,4
1.5-3.0km,mid,巴黎奥斯特里茨车站,Gare d'Austerlitz,巴黎奧斯特里茨車站,Q734017,2.345,3,,19,4
1.5-3.0km,mid,巴黎西岱大学,Paris Cité University,巴黎西岱大学,Q55849612,2.733,2,,19,4
1.5-3.0km,mid,圣厄斯塔什教堂,"Saint-Eustache, Paris",圣厄斯塔什教堂,Q1338207,1.89,3,,19,4
1.5-3.0km,low,对外安全总局,Directorate General for External Security,对外安全总局,Q335827,2.912,1,,1,1
3.0-6.0km,high,万塞讷,Vincennes,万塞讷,Q193819,5.28,4,,35,4
3.0-6.0km,high,巴黎圣拉扎尔车站,Gare Saint-Lazare,巴黎圣拉扎尔车站,Q747506,3.728,5,,35,4
3.0-6.0km,high,蒙索公园,Parc Monceau,蒙索公園,Q1414059,4.858,4,,35,4
3.0-6.0km,high,荣军院,Les Invalides,荣军院,Q188977,4.36,5,,35,4
3.0-6.0km,mid,法国巴黎东方语言文化学院,Institut national des langues et civilisations orientales,法国巴黎东方语言文化学院,Q1430113,3.986,2,,34,4
3.0-6.0km,mid,蒙帕纳斯公墓,Montparnasse Cemetery,蒙帕纳斯公墓,Q272208,4.192,3,,34,4
3.0-6.0km,mid,沙朗通勒蓬,Charenton-le-Pont,沙朗通勒蓬,Q212793,5.524,3,,34,4
3.0-6.0km,mid,欧贝维利耶,Aubervilliers,欧贝维利耶,Q205632,5.411,2,,34,4
3.0-6.0km,low,高等研究应用学院,École pratique des hautes études,高等研究應用學院,Q273631,4.209,1,,1,1
