band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,联合广场,Union Square,联合广场,Q527972,0.581,5,,20,4
0.5-1.5km,high,甲骨文球场,Oracle Park,甲骨文球場,Q298585,1.408,5,,20,4
0.5-1.5km,high,市政中心/联合国广场站,Civic Center/UN Plaza station,市政中心/聯合國廣場站,Q5124283,1.362,4,,20,4
0.5-1.5km,high,跑华街站,Powell Street station,跑華街站,Q7236098,0.705,5,,20,4
0.5-1.5km,mid,旧金山凯悦酒店,Hyatt Regency San Francisco,Hyatt Regency San Francisco,Q5952911,0.889,3,,14,4
0.5-1.5km,mid,杰克·凯鲁亚克巷,Jack Kerouac Alley,傑克·凱魯亞克巷,Q3805604,1.271,2,,14,4
0.5-1.5km,mid,千禧塔,Millennium Tower,千禧塔,Q1833555,0.556,3,,14,4
0.5-1.5km,mid,旧金山联邦大楼,San Francisco Federal Building,舊金山聯邦大樓,Q7414007,1.305,2,,14,4
0.5-1.5km,low,市场街425号,425 Market Street,425 Market Street,Q2545137,0.516,1,,5,4
0.5-1.5km,low,美国联邦第九巡回上诉法院,United States Court of Appeals for the Ninth Circuit,美国联邦第九巡回上诉法院,Q2358778,1.189,1,,5,4
0.5-1.5km,low,加利福尼亚中心345号,345 California Center,加利福尼亞中心345號,Q680905,0.607,1,,5,4
0.5-1.5km,low,,50 Fremont Center,50 Fremont Center,Q2047295,0.5,1,,5,4
1.5-3.0km,high,哥伦布大道,Columbus Avenue,哥伦布大道,Q1574043,1.788,4,,25,4
1.5-3.0km,high,米慎湾,Mission Bay,米慎灣 (舊金山),Q6878535,2.422,4,,25,4
1.5-3.0km,high,旧金山亚洲艺术博物馆,Asian Art Museum,旧金山亚洲艺术博物馆,Q727277,1.542,4,,25,4
1.5-3.0km,high,海斯谷,Hayes Valley,Hayes Valley,Q3128858,2.856,4,,25,4
1.5-3.0km,mid,加利福尼亚州最高法院,Supreme Court of California,加利福尼亞州最高法院,Q2629503,1.644,2,,16,4
1.5-3.0km,mid,福克斯广场,Fox Plaza,Fox Plaza,Q5476861,1.793,2,,16,4
1.5-3.0km,mid,旧金山音乐学院,San Francisco Conservatory of Music,舊金山音樂學院,Q2034815,2.103,2,,16,4
1.5-3.0km,mid,旧金山海事国家历史公园,San Francisco Maritime National Historical Park,旧金山国立海事历史公园,Q1535460,2.955,2,,16,4
1.5-3.0km,low,先驱纪念碑,Pioneer Monument,Pioneer Monument,Q14683658,1.716,1,,3,3
1.5-3.0km,low,杰里迈亚·奥布莱恩号,SS Jeremiah O'Brien,歐布萊恩號,Q2464180,2.457,1,,3,3
1.5-3.0km,low,潘帕尼托号,USS Pampanito,USS Pampanito,Q2548504,2.883,1,,3,3
3.0-6.0km,high,彩绘女士,Painted Ladies,彩繪女士,Q1418042,3.059,4,,22,4
3.0-6.0km,high,恶魔岛联邦监狱,Alcatraz Federal Penitentiary,阿爾卡特拉斯聯邦監獄,Q1142661,4.829,4,,22,4
3.0-6.0km,high,卡斯特罗区,"Castro District, San Francisco",卡斯楚街,Q956169,4.179,5,,22,4
3.0-6.0km,high,太平洋高地,"Pacific Heights, San Francisco",太平洋高地,Q1546101,3.083,4,,22,4
3.0-6.0km,mid,粉红三角公园,Pink Triangle Park,Pink Triangle Park,Q1893618,4.142,2,,25,4
3.0-6.0km,mid,伯纳尔高地山顶,Bernal Heights Summit,Bernal Heights Summit,Q2745820,5.078,2,,25,4
3.0-6.0km,mid,多帕奇,"Dogpatch, San Francisco",多帕奇,Q5288411,3.073,3,,25,4
3.0-6.0km,mid,钻石高地,Diamond Heights,Diamond Heights,Q3026094,5.821,3,,25,4
3.0-6.0km,low,卡斯特罗相机店,Castro Camera,Castro Camera,Q3272800,4.26,1,,4,4
3.0-6.0km,low,KPIX-TV,KPIX-TV,KPIX-TV,Q721602,5.776,1,,4,4
3.0-6.0km,low,,C.A. Thayer,C.A. Thayer,Q1022336,3.053,1,,4,4
3.0-6.0km,low,阿爾瓦德湖橋,Alvord Lake Bridge,阿爾瓦德湖橋,Q4738344,5.155,1,,4,4
