band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,圣母赎虏圣殿,Basilica de la Merced,圣母赎虏圣殿,Q4867346,1.119,4,,23,4
0.5-1.5km,high,武器广场,Plaza de Armas (Santiago),武器广场,Q602232,0.925,5,,23,4
0.5-1.5km,high,智利大学站,Universidad de Chile metro station,Universidad de Chile,Q3569732,0.514,4,,23,4
0.5-1.5km,high,托埃斯卡地铁站,Toesca metro station,Toesca,Q6356262,0.917,5,,23,4
0.5-1.5km,mid,国立安德雷斯·贝略大学,Andrés Bello National University,国立安德雷斯·贝略大学,Q3348434,1.349,3,,31,4
0.5-1.5km,mid,圣礼圣殿,Basílica de los Sacramentinos,Iglesia de los Sacramentinos,Q4868433,0.931,3,,31,4
0.5-1.5km,mid,共和国站,República metro station (Santiago),República,Q5249682,1.145,3,,31,4
0.5-1.5km,mid,智利中央大学,Universidad Central de Chile,智利中央大學,Q662422,0.967,3,,31,4
0.5-1.5km,low,智利共济会总会,Grand Lodge of Chile,Grand Lodge of Chile,Q1155329,0.975,1,,4,4
0.5-1.5km,low,阿隆索·德·埃尔西利亚学校,Colegio Alonso de Ercilla,Instituto Alonso de Ercilla,Q5142775,1.346,1,,4,4
0.5-1.5km,low,智利玻利瓦尔大学,Bolivarian University of Chile,Bolivarian University of Chile,Q4939500,0.716,1,,4,4
0.5-1.5km,low,,Centenario Tower,Torre Centenario,Q6150080,1.216,1,,4,4
1.5-3.0km,high,天主教大学站,Universidad Católica metro station,Universidad Católica,Q5249006,1.515,5,,21,4
1.5-3.0km,high,智利国家自然历史博物馆,Chilean National Museum of Natural History,智利国家自然历史博物馆,Q3064279,2.449,4,,21,4
1.5-3.0km,high,贝拉维斯塔街区,Barrio Bellavista,Barrio Bellavista,Q4863718,2.29,4,,21,4
1.5-3.0km,high,智利国家美术博物馆,Chilean National Museum of Fine Arts,智利國家美術博物館,Q775376,1.557,4,,21,4
1.5-3.0km,mid,巴尔马塞达公园,Balmaceda Park,Balmaceda Park,Q4852331,2.826,3,,32,4
1.5-3.0km,mid,记忆与人权博物馆,Museum of Memory and Human Rights,记忆与人权博物馆,Q6940940,2.274,3,,32,4
1.5-3.0km,mid,伊拉拉萨瓦尔站,Irarrázaval metro station,Irarrázaval,Q6449255,2.608,3,,32,4
1.5-3.0km,mid,埃斯塔西翁森特拉尔,Estación Central,埃斯塔西翁森特拉爾,Q13045,2.288,3,,32,4
1.5-3.0km,low,维拉克鲁斯教堂,Church of the Vera Cruz (Santiago),Church of the Vera Cruz,Q5118066,1.501,1,,3,3
1.5-3.0km,low,ARCIS大学,ARCIS University,University of Art and Social Sciences,Q7895089,1.648,1,,3,3
1.5-3.0km,low,,Iglesia del Monasterio del Carmen Bajo de San Rafael,Iglesia del Monasterio del Carmen Bajo de San Rafael,Q16578049,1.783,1,,3,3
3.0-6.0km,high,洛斯莱昂内斯站,Los Leones metro station,洛斯萊昂內斯站,Q5397450,4.994,4,,15,4
3.0-6.0km,high,智利西班牙地铁站,Chile España metro station,Chile España,Q2841226,5.516,4,,15,4
3.0-6.0km,high,圣克里斯托瓦尔山,San Cristóbal Hill,圣克里斯托瓦尔山,Q181523,3.02,5,,15,4
3.0-6.0km,high,托巴拉巴站,Tobalaba metro station,Tobalaba,Q5243191,5.84,4,,15,4
3.0-6.0km,mid,洛普拉多站,Lo Prado metro station,Lo Prado,Q6663171,5.679,3,,51,4
3.0-6.0km,mid,多萨尔站,Dorsal metro station,Dorsal,Q3037252,5.473,2,,51,4
3.0-6.0km,mid,帕哈里托斯站,Pajaritos metro station,Pajaritos,Q6311190,5.762,3,,51,4
3.0-6.0km,mid,纽布莱地铁站,Ñuble metro station,Ñuble,Q602955,3.793,3,,51,4
3.0-6.0km,low,何塞·多明戈·卡尼亚斯记忆之家,José Domingo Cañas Memory House,Casa Memoria José Domingo Cañas,Q6406008,3.762,1,,7,4
3.0-6.0km,low,智利公共卫生研究院,Public Health Institute of Chile,Public Health Institute of Chile,Q5918337,4.218,1,,7,4
3.0-6.0km,low,海德堡拉丁美洲中心,Heidelberg Center for Latin America,Heidelberg Center Lateinamerika,Q1594001,5.104,1,,7,4
3.0-6.0km,low,智利体育部,Ministry of Sports (Chile),智利體育部,Q16494119,4.567,1,,7,4
