band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,卡斯特罗剧院,Castro Theatre,卡斯楚戲院,Q2941518,1.424,4,,2,2
0.5-1.5km,high,卡斯特罗区,"Castro District, San Francisco",卡斯楚街,Q956169,1.41,5,,2,2
0.5-1.5km,mid,旧金山军械库,San Francisco Armory,旧金山军火库,Q7413920,0.885,2,,6,4
0.5-1.5km,mid,尤里卡谷区,"Eureka Valley, San Francisco",歐瑞卡谷區,Q1819474,1.239,3,,6,4
0.5-1.5km,mid,诺伊谷,"Noe Valley, San Francisco",諾伊谷,Q3342640,1.478,3,,6,4
0.5-1.5km,mid,佛蒙特街,Vermont Street,佛蒙特街,Q4010087,1.329,2,,6,4
0.5-1.5km,low,卡斯特罗相机店,Castro Camera,Castro Camera,Q3272800,1.407,1,,1,1
1.5-3.0km,high,市场街,Market Street,市场街,Q248284,1.528,5,,20,4
1.5-3.0km,high,跑华街站,Powell Street station,跑華街站,Q7236098,2.838,5,,20,4
1.5-3.0km,high,海特-阿什伯里,Haight-Ashbury,海特-阿什伯里,Q1027700,2.696,5,,20,4
1.5-3.0km,high,海斯谷,Hayes Valley,Hayes Valley,Q3128858,1.628,4,,20,4
1.5-3.0km,mid,粉红三角公园,Pink Triangle Park,Pink Triangle Park,Q1893618,1.536,2,,17,4
1.5-3.0km,mid,加利福尼亚整合学院,California Institute of Integral Studies,加利福尼亞整合學院,Q3444680,1.642,2,,17,4
1.5-3.0km,mid,福克斯广场,Fox Plaza,Fox Plaza,Q5476861,1.91,2,,17,4
1.5-3.0km,mid,旧金山4街夹金恩街站,San Francisco station,三藩市4街夾金恩街站,Q7413912,2.825,3,,17,4
1.5-3.0km,low,先驱纪念碑,Pioneer Monument,Pioneer Monument,Q14683658,2.192,1,,3,3
1.5-3.0km,low,美国联邦第九巡回上诉法院,United States Court of Appeals for the Ninth Circuit,美国联邦第九巡回上诉法院,Q2358778,2.324,1,,3,3
1.5-3.0km,low,跨性别区,The Transgender District,The Transgender District,Q65049937,2.61,1,,3,3
3.0-6.0km,high,加利福尼亚州科学院,California Academy of Sciences,加利福尼亚州科学院,Q965731,4.311,4,,47,4
3.0-6.0km,high,海港区,Marina District,海港區,Q933336,5.018,4,,47,4
3.0-6.0km,high,内河码头中心,Embarcadero Center,内河码头中心,Q3493067,4.277,4,,47,4
3.0-6.0km,high,梅森堡,Fort Mason,梅森堡,Q948933,5.396,4,,47,4
3.0-6.0km,mid,杰克·凯鲁亚克巷,Jack Kerouac Alley,傑克·凱魯亞克巷,Q3805604,4.301,2,,42,4
3.0-6.0km,mid,金门大学,Golden Gate University,金門大學,Q1534879,3.692,3,,42,4
3.0-6.0km,mid,旧金山艺术大学,Academy of Art University,旧金山艺术大学,Q2822225,3.492,2,,42,4
3.0-6.0km,mid,巴尔博亚公园（旧金山）,"Balboa Park, San Francisco",巴爾波亞公園 (舊金山),Q3624755,4.514,3,,42,4
3.0-6.0km,low,杰里迈亚·奥布莱恩号,SS Jeremiah O'Brien,歐布萊恩號,Q2464180,5.511,1,,10,4
3.0-6.0km,low,,333 Bush Street,333 Bush Street,Q2816211,3.682,1,,10,4
3.0-6.0km,low,加利福尼亚中心345号,345 California Center,加利福尼亞中心345號,Q680905,3.969,1,,10,4
3.0-6.0km,low,蒙哥马利街44号,44 Montgomery,蒙哥马利街44号,Q2613795,3.642,1,,10,4
