band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,东京国立博物馆,Tokyo National Museum,東京國立博物館,Q653433,1.301,4,,2,2
0.5-1.5km,high,上野动物园,Ueno Zoo,上野动物园,Q162722,1.163,5,,2,2
0.5-1.5km,mid,根津神社,Nezu Shrine,根津神社,Q335612,0.892,3,,8,4
0.5-1.5km,mid,田端站,Tabata Station (Tokyo),田端站,Q801503,1.286,3,,8,4
0.5-1.5km,mid,西日暮里站,Nishi-Nippori Station,西日暮里站,Q636845,0.553,3,,8,4
0.5-1.5km,mid,东洋大学,Toyo University,东洋大学,Q1321655,1.466,3,,8,4
1.5-3.0km,high,御徒町站,Okachimachi Station,御徒町站,Q801296,2.329,4,,11,4
1.5-3.0km,high,国立科学博物馆,National Museum of Nature and Science,国立科学博物馆,Q74940,1.522,4,,11,4
1.5-3.0km,high,田原町站,Tawaramachi Station,田原町站,Q1196090,2.938,4,,11,4
1.5-3.0km,high,水道桥站,Suidobashi Station,水道橋站,Q801496,2.984,4,,11,4
1.5-3.0km,mid,中央大学,Chuo University,中央大學,Q1091287,2.6,3,,13,4
1.5-3.0km,mid,讲道馆,Kodokan Judo Institute,講道館,Q1165384,2.398,2,,13,4
1.5-3.0km,mid,国立西洋美术馆,National Museum of Western Art,日本國立西洋美術館,Q1362629,1.571,3,,13,4
1.5-3.0km,mid,本乡三丁目站,Hongō-sanchōme Station,本鄉三丁目站,Q80774,2.321,3,,13,4
1.5-3.0km,low,日本学士院,Japan Academy,日本学士院,Q1683229,1.579,1,,1,1
3.0-6.0km,high,锦糸町站,Kinshichō Station,錦糸町站,Q801017,5.537,4,,38,4
3.0-6.0km,high,日比谷站,Hibiya Station,日比谷站,Q511753,5.817,4,,38,4
3.0-6.0km,high,秋叶原站,Akihabara Station,秋葉原站,Q800374,3.251,5,,38,4
3.0-6.0km,high,两国国技馆,Ryōgoku Kokugikan,兩國國技館,Q176821,4.154,4,,38,4
3.0-6.0km,mid,茅场町站,Kayabachō Station,茅場町站,Q80566,5.387,3,,35,4
3.0-6.0km,mid,法政大学,Hosei University,法政大學,Q1323040,4.143,2,,35,4
3.0-6.0km,mid,ARTIZON美术馆,Artizon Museum,普利司通美術館,Q913808,5.377,2,,35,4
3.0-6.0km,mid,日本桥,Nihonbashi,日本橋,Q1141952,5.078,3,,35,4
