band,tier,name_zh,name_en,label_raw,qid,dist_km,familiarity,pageviews,n_in_cell,n_taken
0.5-1.5km,high,奥地利国会大厦,Austrian Parliament Building,奥地利国会大厦,Q702121,1.08,5,,41,4
0.5-1.5km,high,新堡巷站,Neubaugasse station,新堡巷站,Q2465746,0.809,4,,41,4
0.5-1.5km,high,维也纳世界博物馆,Weltmuseum Wien,Weltmuseum Wien,Q686488,0.679,4,,41,4
0.5-1.5km,high,哈维卡咖啡馆,Café Hawelka,哈维卡咖啡馆,Q494438,1.089,4,,41,4
0.5-1.5km,mid,路斯楼,Looshaus,路斯樓,Q694760,1.07,2,,15,4
0.5-1.5km,mid,哈斯大楼,Haas House,哈斯大楼,Q697572,1.207,3,,15,4
0.5-1.5km,mid,列奥波多博物馆,Leopold Museum,列奥波多博物馆,Q59435,0.532,3,,15,4
0.5-1.5km,mid,苏格兰修道院,Schottenstift,苏格兰修道院,Q549585,1.472,3,,15,4
0.5-1.5km,low,基本人权机构,Fundamental Rights Agency,基本人權公署,Q48790,0.819,1,,3,3
0.5-1.5km,low,维也纳国际世界语博物馆,Esperanto Museum and Collection of Planned Languages,维也纳国际世界语博物馆,Q686443,1.163,1,,3,3
0.5-1.5km,low,奥地利宪法法院,Constitutional Court (Austria),奧地利憲法法院,Q873868,1.412,1,,3,3
1.5-3.0km,high,弗洛伊德博物馆,Sigmund Freud Museum (Vienna),弗洛伊德博物馆,Q694810,2.191,4,,15,4
1.5-3.0km,high,维也纳体育馆,Wiener Stadthalle,维也纳体育馆,Q698140,2.34,4,,15,4
1.5-3.0km,high,奥地利美景宫美术馆,Österreichische Galerie Belvedere,奥地利美景宫美术馆,Q303139,1.526,4,,15,4
1.5-3.0km,high,奈斯特罗伊广场站,Nestroyplatz station,奈斯特羅伊廣場站,Q2465749,2.477,4,,15,4
1.5-3.0km,mid,奥地利邮政储蓄银行,Austrian Postal Savings Bank,奧地利郵政儲蓄銀行,Q877570,1.748,3,,25,4
1.5-3.0km,mid,维特根斯坦住宅,Haus Wittgenstein,维特根斯坦住宅,Q874557,2.322,2,,25,4
1.5-3.0km,mid,约瑟夫城剧院,Theater in der Josefstadt,约瑟夫城剧院,Q167619,1.503,3,,25,4
1.5-3.0km,mid,阿尔瑟格伦德,Alsergrund,阿尔瑟格伦德,Q257780,2.974,3,,25,4
3.0-6.0km,high,维也纳大众歌剧院,Vienna Volksoper,维也纳大众歌剧院,Q694747,3.01,4,,20,4
3.0-6.0km,high,美泉宫动物园,Schönbrunn Zoo,美泉宮動物園,Q752283,4.894,5,,20,4
3.0-6.0km,high,帝国桥,Reichsbrücke,帝国桥,Q684821,4.744,4,,20,4
3.0-6.0km,high,维也纳弗朗茨-约瑟夫车站,Wien Franz-Josefs-Bahnhof,维也纳弗朗茨-约瑟夫车站,Q686592,3.03,4,,20,4
3.0-6.0km,mid,多瑙码头站,Donaumarina station,多瑙碼頭站,Q1534781,5.117,3,,15,4
3.0-6.0km,mid,赫岑多夫宫,Schloss Hetzendorf,赫岑多夫宮,Q664880,5.487,3,,15,4
3.0-6.0km,mid,中欧大学,Central European University,中欧大学,Q757391,3.33,3,,15,4
3.0-6.0km,mid,卡尔马克思大院,Karl-Marx-Hof,卡尔马克思大院,Q513211,5.621,3,,15,4
3.0-6.0km,low,人文科学研究院,Institute for Human Sciences,人文科學研究院,Q1077495,3.142,1,,1,1
