site,ref_en,tier,ref_km,n,echoed,hit,error_gm,echo_pct,hit_pct
amsterdam_church,Noordermarkt,high,1.03,5,0,2,1.37,0.0,40.0
amsterdam_church,Begijnhof,mid,1.091,5,0,2,8.42,0.0,40.0
amsterdam_church,Grachtengordel,high,1.532,5,0,2,1.6,0.0,40.0
amsterdam_church,Museum Van Loon,mid,1.573,5,2,3,2.81,40.0,60.0
amsterdam_church,Isolatorweg metro station,mid,4.015,5,1,2,4.2,20.0,40.0
amsterdam_church,Centrum Wiskunde & Informatica,low,4.114,5,2,2,1.56,40.0,40.0
amsterdam_church,Amsterdam Zuid station,high,4.599,5,2,2,3.16,40.0,40.0
amsterdam_natura,Nieuwmarkt metro station,high,1.239,4,2,1,0.82,50.0,25.0
amsterdam_natura,De Nederlandsche Bank,mid,1.372,4,0,1,0.91,0.0,25.0
amsterdam_natura,Magna Plaza,mid,1.977,4,2,1,1.01,50.0,25.0
amsterdam_natura,Singel,high,2.059,4,1,1,1.15,25.0,25.0
amsterdam_natura,Centrum Wiskunde & Informatica,low,2.628,4,2,1,1.57,50.0,25.0
amsterdam_natura,Duivendrecht station,high,4.942,4,2,1,3.94,50.0,25.0
amsterdam_vondelpark,Stedelijk Museum Amsterdam,high,0.91,4,0,0,1.54,0.0,0.0
amsterdam_vondelpark,Melkweg,mid,1.338,4,0,0,4.46,0.0,0.0
amsterdam_vondelpark,Kalverstraat,high,2.199,4,0,0,2.26,0.0,0.0
amsterdam_vondelpark,Allard Pierson Museum,mid,2.242,4,0,0,1.54,0.0,0.0
amsterdam_vondelpark,Montelbaanstoren,high,3.149,4,0,0,1.66,0.0,0.0
amsterdam_vondelpark,Amsterdam Muiderpoort railway station,mid,4.416,4,1,0,2.13,25.0,0.0
amsterdam_vondelpark,Centrum Wiskunde & Informatica,low,5.811,4,0,0,2.51,0.0,0.0
athens_kotzia,Monument of the Eponymous Heroes,mid,0.875,5,0,5,0.64,0.0,100.0
athens_kotzia,Temple of Hephaestus,high,0.875,5,0,4,0.7,0.0,80.0
athens_kotzia,Brauroneion,low,1.153,5,0,3,0.92,0.0,60.0
athens_kotzia,Philopappos Monument,high,1.701,5,0,2,1.21,0.0,40.0
athens_kotzia,Leoforos Alexandras Stadium,mid,2.395,5,1,1,2.06,20.0,20.0
athens_kotzia,Athens Mosque,low,2.49,5,1,3,0.76,20.0,60.0
athens_kotzia,Nea Smyrni Stadium,high,4.593,5,4,1,3.28,80.0,20.0
athens_kotzia,Moschato metro station,mid,5.082,5,3,1,2.72,60.0,20.0
athens_monastiraki,Brauroneion,low,0.502,4,0,4,0.35,0.0,100.0
athens_monastiraki,National Theatre of Greece,mid,0.972,4,0,4,0.2,0.0,100.0
athens_monastiraki,"Gazi, Athens",high,0.987,4,0,1,0.64,0.0,25.0
athens_monastiraki,Panathenaic Stadium,high,1.62,4,0,3,0.57,0.0,75.0
athens_monastiraki,Athens Mosque,low,2.508,4,0,4,0.19,0.0,100.0
athens_monastiraki,Leoforos Alexandras Stadium,mid,2.814,4,0,1,0.77,0.0,25.0
athens_monastiraki,Kallithea metro station,high,3.033,4,3,1,0.64,75.0,25.0
athens_monastiraki,Psychiko,mid,5.672,4,2,2,1.07,50.0,50.0
athens_national,Parthenon,high,1.069,4,0,4,0.3,0.0,100.0
athens_national,Pandroseion,low,1.099,4,0,3,0.41,0.0,75.0
athens_national,Monument of the Eponymous Heroes,mid,1.403,4,0,4,0.25,0.0,100.0
athens_national,National and Kapodistrian University of Athens,high,2.564,4,1,3,0.48,25.0,75.0
athens_national,Kypseli,mid,2.899,4,3,2,0.85,75.0,50.0
athens_national,Attiki metro station,mid,3.128,4,0,3,0.41,0.0,75.0
athens_national,Athens Mosque,low,3.624,4,0,3,0.53,0.0,75.0
athens_national,Egaleo metro station,high,5.312,4,2,2,1.16,50.0,50.0
barcelona_born,Palau de la Música Catalana,high,0.562,15,2,14,0.32,13.3,93.3
barcelona_born,Els Quatre Gats,mid,0.618,15,0,11,0.43,0.0,73.3
barcelona_born,Plaça de Catalunya,high,0.939,15,3,9,0.56,20.0,60.0
barcelona_born,Institute for Catalan Studies,low,1.514,15,1,10,0.7,6.7,66.7
barcelona_born,Casa Amatller,mid,1.515,15,3,6,0.89,20.0,40.0
barcelona_born,Casa Batlló,high,1.528,15,1,6,0.93,6.7,40.0
barcelona_born,Sant Antoni (Barcelona Metro),mid,1.655,15,13,5,1.31,86.7,33.3
barcelona_born,Glòries station,high,2.097,15,1,8,0.82,6.7,53.3
barcelona_born,Open University of Catalonia,low,2.65,15,0,9,0.74,0.0,60.0
barcelona_born,Park Güell,high,3.958,15,0,9,0.71,0.0,60.0
barcelona_born,Port of Barcelona,high,4.071,15,1,13,0.44,6.7,86.7
barcelona_born,La Masia,mid,4.839,15,0,10,0.7,0.0,66.7
barcelona_born,Mini Estadi,low,5.284,15,0,9,0.85,0.0,60.0
barcelona_born,Vall d'Hebron station,mid,5.502,15,3,8,1.01,20.0,53.3
barcelona_born,Barcelona Supercomputing Center,low,5.507,15,0,9,0.91,0.0,60.0
barcelona_fontana,Institut Ramon Llull,mid,0.97,10,4,4,1.19,40.0,40.0
barcelona_fontana,Passeig de Gràcia,high,1.408,10,0,3,1.01,0.0,30.0
barcelona_fontana,Tarragona metro station,mid,2.785,10,1,0,7.2,10.0,0.0
barcelona_fontana,El Raval,high,2.843,10,0,0,2.63,0.0,0.0
barcelona_fontana,Institute for Catalan Studies,low,3.149,10,2,0,2.09,20.0,0.0
barcelona_fontana,Navas (Barcelona Metro),mid,3.193,10,3,1,2.65,30.0,10.0
barcelona_fontana,Barceloneta station,high,3.543,10,4,0,2.46,40.0,0.0
barcelona_gracia,Lesseps station,high,0.647,15,3,13,0.44,20.0,86.7
barcelona_gracia,Avinguda Diagonal,high,0.755,15,2,5,0.86,13.3,33.3
barcelona_gracia,Sant Gervasi station,mid,0.793,15,13,5,1.19,86.7,33.3
barcelona_gracia,Institut Ramon Llull,mid,0.827,15,2,7,0.86,13.3,46.7
barcelona_gracia,Els Quatre Gats,mid,2.416,15,1,4,1.58,6.7,26.7
barcelona_gracia,La Boqueria,high,2.691,15,0,4,1.64,0.0,26.7
barcelona_gracia,Plaça del Rei,mid,2.757,15,1,4,1.67,6.7,26.7
barcelona_gracia,Liceu,high,2.923,15,2,4,1.62,13.3,26.7
barcelona_gracia,Institute for Catalan Studies,low,3.097,15,1,4,1.57,6.7,26.7
barcelona_gracia,Open University of Catalonia,low,3.23,15,0,6,1.02,0.0,40.0
barcelona_gracia,Barcelona Zoo,high,3.383,15,0,4,1.59,0.0,26.7
barcelona_gracia,Mundet station,mid,3.634,15,1,10,0.61,6.7,66.7
barcelona_gracia,Hotel Arts,high,3.807,15,2,3,1.62,13.3,20.0
barcelona_gracia,Florida station,mid,5.364,15,4,5,4.12,26.7,33.3
barcelona_lesseps,Gràcia station,high,0.744,4,3,4,0.65,75.0,100.0
barcelona_lesseps,CosmoCaixa Barcelona,mid,1.713,4,0,0,1.64,0.0,0.0
barcelona_lesseps,Gran Via de les Corts Catalanes,high,2.894,4,0,0,1.95,0.0,0.0
barcelona_lesseps,Royal Square,high,3.602,4,0,0,12.18,0.0,0.0
barcelona_lesseps,Institute for Catalan Studies,low,3.613,4,0,0,2.57,0.0,0.0
barcelona_lesseps,Trinitat Nova station,mid,5.497,4,4,0,5.63,100.0,0.0
